test_case,resource_id,resource_title,resource_description,resource_type,resource_source,resource_category,resource_topics,resource_recommend_if,resource_state,resource_organization,resource_default_navigator_note,similarity_score
Find a family therapist,,Finding You Therapy Programs,"Individual, Couples, and Family Therapy and coaching directed by Dr. Brad Reedy, PhD, a nationally-renowned  psychologist, author, and veteran in the parent-child dynamic involved with youth mental health challenges. Utah-based, in-person and remote services available",Program,https://www.findingyouprograms.com/leadership,Treatment,"{, }","Young adults and parents in need of individual or family therapy or coaching services, adult couples in need of couples therapy",,,,0.5575
Find a family therapist,,PsychologyToday,One of the most comprehensive directories of mental health therapists. You can filter for therapists in your location that accept your insurance and specialize in the your needs or your child's needs.,Website,https://www.psychologytoday.com/us/therapists/,Treatment,"{, T, h, e, r, a, p, y, ,, "", M, e, n, t, a, l,  , H, e, a, l, t, h, "", ,, D, i, r, e, c, t, o, r, i, e, s, }",For anyone looking for a therapist near them that takes their insurance,,,,0.5565
Find a family therapist,,"Jess Adam, LMHC, LMFT, RYT",Marriage & Family Therapist,Program,https://www.psychologytoday.com/us/therapists/jess-adam-portland-me/332308,Treatment,"{, }","Parents are seeking help with maintaining spousal/partner relationships or healthy, loving family dynamics",,,,0.5479
Find a family therapist,,How to find a provider toolkit,"A toolkit PDF created by NAMI Maine that describes the different types of providers, questions to ask providers, and where to get started",Document,https://drive.google.com/file/d/11fks0h9O9e5oW-gcHp8Ylrl-TrgKY143/view,Treatment,"{, T, h, e, r, a, p, y, ,, "", M, e, n, t, a, l,  , H, e, a, l, t, h, "", ,, S, e, l, f, -, e, d, u, c, a, t, i, o, n, }",For parents who are trying to find a therapist in Maine or get a diagnosis for a mental health challenge and they don't know where to start,,,,0.4874
Find a family therapist,,"Dr. Alexis Wilbert, Psy.D.","Psychologist specializing in treating youth with eating disorders, anxiety, and perfectionism. Telehealth practice only. Private-pay, out-of-network provider.",Program,https://www.dralexiswilbert.com/,Treatment,"{, }","Parents have children in Maine who need treatment for eating disorders, anxiety, or perfectionism.",,,,0.4331
Find a family therapist,,Amble Therapy,"Mental health counseling for teen and young adult Mainers seeking relief from anxiety, trauma, and burnout. Services include (but don't have to be) ""Walk & Talk"" therapy, where therapeutic modalities are incorporated while you enjoy and connect to the outdoors. Based in Portland, ME. In-person and remote offerings",Program,https://www.ambletherapy.com/,Treatment,"{, }","Young adults or parents of teens are seeking therapy to address anxiety, trauma, and/or burnout. Does not accept insurance.",,,,0.403
Find a family therapist,,Knox Clinic | Mental Health Services,"In-person and virtual counseling, short-term behavioral health support, and health management sessions in Rockland, ME.",Program,https://knoxclinic.org/about-us/your-mid-coast-health-net/,Treatment,"{, T, h, e, r, a, p, y, ,, "", M, e, n, t, a, l,  , H, e, a, l, t, h, "", }","For parents near Rockland, ME who are looking for mental health services",,,,0.3981
Find a family therapist,,Attachment & Attuned Parenting,"2-hr. digital seminar to:
- Characterize the three types of non-secure attachment and describe how they manifest in parenting styles that limit parent/child connection.
- Categorize how caregiver presence and attuned parenting fosters resilience in children.
- Assess the four “S’s” of attachment and relate their significance to clinicians and educators.",Video,https://mindsightinstitute.com/item/attachment-attuned-parenting-163636,Parenting,"{, A, t, t, a, c, h, m, e, n, t, ,, A, t, t, u, n, e, m, e, n, t, }",Parents are entangled with their children's lives in an unhealthy way or if they are concerned with being unable to meet their children's nurturing needs. Especially helpful for parents of neurodiverse children,,"Dr. Dan Siegel, MD / MindSight Institute",,0.3892
Find a family therapist,,MaineHealth Behavioral Health,"Locations of MaineHealth's behavioral health services, where you can find access to mental health care and other behavioral health services.",Program,https://www.mainehealth.org/care-services/behavioral-health-care,Treatment,"{, "", M, e, n, t, a, l,  , H, e, a, l, t, h, "", ,, T, h, e, r, a, p, y, }",For parents of children in Maine looking for mental and behavioral health care services,,,,0.3862
Find a family therapist,,Hearty Roots,Adventure-based youth programming that fosters social-emotional development and healthy relationships with self and others.,Organization,https://www.heartyroots.org/,Social Services,"{, }",Parents are looking in Maine for an outdoors-based experiential learning environment for their child's social-emotional growth,,,,0.381
Find a family therapist,,PEERS - Program for the Education and Enrichment of Relational Skills,"[This is a fee-based service] Online, evidence-based therapist-facilitated group sessions to help teens, young adults, and adults learn social skills to help them develop healthy friendships, dating strategies, and improved confidence and success with other interpersonal interactions. Focus is on social growth, not ""masking.""",Program,https://sgroups.com/peers-ucla/,Treatment,"{, "", S, o, c, i, a, l,  , P, r, a, g, m, a, t, i, c,  , C, o, m, m, u, n, i, c, a, t, i, o, n,  , D, i, s, o, r, d, e, r, "", ,, S, P, C, D, ,, A, D, H, D, ,, A, S, D, ,, N, e, u, r, o, d, i, v, e, r, s, i, t, y, ,, F, r, i, e, n, d, s, h, i, p, s, ,, D, a, t, i, n, g, ,, "", I, n, t, e, r, p, e, r, s, o, n, a, l,  , s, k, i, l, l, s, "", }","Parents have a teen, young adult, or adult child who has been diagnosed with ASD, SPCD, ADHD, or identifies as neurodiverse and has trouble in social settings",,"SGroups, UCLA - PEERS",,0.3764
Find a family therapist,,Support Group for Parents with Children with Complex Healthcare Needs,A group for parents to hear and be understood regarding the challenges they face caring for their children with complex health conditions.,Program,https://www.mpf.org/event/support-group-for-parents-and-caregivers-of-children-with-complex-medical-needs-12/,Self-care,"{, }",Parents of children with health conditions are looking for support ,,Maine Parent Federation,,0.3752
Find a family therapist,,Brighter Heights Maine | Behavioral Health,"Outpatient therapy, Case Management, Daily Living Skills, Medication Management, and Substance Use Counseling in Maine for children and adults. They accept MaineCare and self-pay only. Locations in Rockland, Yarmouth, Bangor, and Belfast.",Program,https://www.bh-maine.com/program/behavioral-health/,Treatment,"{, "", M, e, n, t, a, l,  , H, e, a, l, t, h, "", ,, T, h, e, r, a, p, y, ,, "", S, u, b, s, t, a, n, c, e,  , U, s, e,  , C, o, u, n, s, e, l, i, n, g, "", ,, "", C, a, s, e,  , M, a, n, a, g, e, m, e, n, t, "", }","For parents in Maine near Rockland, Yarmouth, Bangor, or Belfast who have MaineCare and have children struggling with mental health or substance abuse challenges.",,,,0.3614
Find a family therapist,,Autism Society of Maine - Groups,"A directory of youth, adult, and caregiver support groups offered through the Autism Society of Maine",Program,https://www.asmonline.org/programs/asm-groups/,Self-care,"{, "", A, u, t, i, s, m,  , S, p, e, c, t, r, u, m, "", ,, C, a, r, e, g, i, v, i, n, g, }","Youth or adults with Autism Spectrum, or their caregivers, are looking for support",,,,0.3552
