test_case,resource_id,resource_title,resource_description,resource_type,resource_source,resource_category,resource_topics,resource_recommend_if,resource_state,resource_organization,resource_default_navigator_note,similarity_score
Find a family therapist,,,,,,,,,,,,0.5576
Find a family therapist,,,,,,,,,,,,0.5566
Find a family therapist,,,,,,,,,,,,0.548
Find a family therapist,,,,,,,,,,,,0.4874
Find a family therapist,,,,,,,,,,,,0.4332
Find a family therapist,,,,,,,,,,,,0.4031
Find a family therapist,,,,,,,,,,,,0.3981
Find a family therapist,,,,,,,,,,,,0.3892
Find a family therapist,,,,,,,,,,,,0.3863
Find a family therapist,,,,,,,,,,,,0.3811
Find a family therapist,,,,,,,,,,,,0.3765
Find a family therapist,,,,,,,,,,,,0.3753
Find a family therapist,,,,,,,,,,,,0.3614
Find a family therapist,,,,,,,,,,,,0.3552
Find a family therapist,,,,,,,,,,,,0.3363
Find a family therapist,,,,,,,,,,,,0.3181
Find a family therapist,,,,,,,,,,,,0.3119
Find a family therapist,,,,,,,,,,,,0.3116
Find a family therapist,,,,,,,,,,,,0.308
Find a family therapist,,,,,,,,,,,,0.3055
Find a family therapist,,,,,,,,,,,,0.3013
Find a family therapist,,,,,,,,,,,,0.297
Find a family therapist,,,,,,,,,,,,0.2966
Find a family therapist,,,,,,,,,,,,0.2915
Find a family therapist,,,,,,,,,,,,0.2891
Find a family therapist,,,,,,,,,,,,0.2878
Find a family therapist,,,,,,,,,,,,0.2792
Find a family therapist,,,,,,,,,,,,0.2765
Find a family therapist,,,,,,,,,,,,0.276
Find a family therapist,,,,,,,,,,,,0.2731
Find a family therapist,,,,,,,,,,,,0.2692
Find a family therapist,,,,,,,,,,,,0.2662
Find a family therapist,,,,,,,,,,,,0.2649
Find a family therapist,,,,,,,,,,,,0.2646
Find a family therapist,,,,,,,,,,,,0.2638
Find a family therapist,,,,,,,,,,,,0.2636
Find a family therapist,,,,,,,,,,,,0.2634
Find a family therapist,,,,,,,,,,,,0.2627
Find a family therapist,,,,,,,,,,,,0.2612
Find a family therapist,,,,,,,,,,,,0.2591
Find a family therapist,,,,,,,,,,,,0.2586
Find a family therapist,,,,,,,,,,,,0.2461
Find a family therapist,,,,,,,,,,,,0.2446
Find a family therapist,,,,,,,,,,,,0.2428
